Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Total allocable by country,"1,203.71","2,452.44","3,418.95","3,799.92","3,457.52","5,907.24","4,456.33","4,230.37","3,941.89","6,069.39","5,254.86","5,815.59","6,300.60","7,466.87","7,489.82","9,119.57","8,472.63","7,793.12","10,270.34","10,275.22","10,716.88","11,011.56"
Afghanistan,8.68,9.22,45.48,66.76,42.75,200.27,155.17,268.82,180.69,116.00,180.38,607.49,919.07,532.61,468.92,343.64,379.52,349.63,929.47,626.30,621.14,732.34
Albania,0.00,0.00,0.01,0.00,0.31,7.95,8.08,32.61,30.51,240.71,46.54,29.37,29.00,12.31,5.77,4.54,2.77,1.52,1.79,1.10,1.31,1.33
Algeria,10.42,18.56,15.34,14.76,19.77,18.14,26.93,27.61,46.29,25.44,43.08,51.28,51.15,47.24,29.21,25.83,20.07,24.36,37.67,34.02,26.91,31.35
Angola,10.91,31.71,72.47,75.50,134.72,167.74,129.32,140.27,102.59,197.72,171.82,156.79,293.42,329.83,228.34,127.62,60.27,28.67,11.24,7.22,1.54,9.29
Anguilla,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.16,0.01,0.00,0.00,0.00,0.08,0.01,0.00,0.00,0.14,0.00,0.00
Antigua and Barbuda,0.00,0.02,0.17,0.05,0.00,0.03,0.86,0.89,0.59,0.16,0.00,0.00,0.02,0.00,0.00,0.08,0.01,0.00,0.00,0.12,0.00,0.00
Argentina,1.50,1.39,1.92,2.26,2.52,3.98,3.35,11.94,3.65,1.93,1.59,1.55,14.54,50.26,1.09,1.69,0.56,1.16,0.87,3.64,1.69,4.16
Armenia,0.00,0.00,0.00,11.55,15.14,46.19,36.02,23.12,8.18,12.97,13.85,28.40,32.35,20.72,14.93,13.94,10.72,9.52,3.05,2.57,5.45,5.60
Aruba,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Azerbaijan,0.00,0.00,0.00,12.91,19.40,51.78,36.29,24.80,11.21,24.28,17.78,28.56,25.87,21.29,26.76,16.84,7.01,9.28,5.88,3.71,3.09,1.35
