Country code,Country name,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
ABW,ARUBA,46.777,,,,,46.6,,,,,46.703,,,,,48.761,,,,,50.319,,,,,50.395,,,,,50.472,,,,,50.548,,,,,50.624,,,,,50.7,,,,,50.776,,,,,50.852,,,,,50.928
AFG,AFGHANISTAN,23.239,,,,,21.882,,,,,20.583,,,,,19.341,,,,,18.157,,,,,16.917,,,,,15.675,,,,,13.278,,,,,11.031,,,,,9.353,,,,,7.993,,,,,6.815,,,,,5.8
AGO,ANGOLA,58.379,,,,,53.943,,,,,48.987,,,,,43.988,,,,,37.144,,,,,30.338,,,,,24.298,,,,,19.128,,,,,14.957,,,,,12.504,,,,,10.435,,,,,8.902,,,,,7.576
AIA,ANGUILLA,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0
ALB,ALBANIA,52.322,,,,,46.804,,,,,41.741,,,,,38.911,,,,,36.428,,,,,35.083,,,,,33.762,,,,,32.712,,,,,31.74,,,,,31.23,,,,,30.705,,,,,26.864,,,,,20.528
AND,ANDORRA,87.817,,,,,90.295,,,,,92.395,,,,,93.661,,,,,94.712,,,,,95.159,,,,,92.064,,,,,87.252,,,,,80.155,,,,,70.445,,,,,58.45,,,,,48.568,,,,,38.8
ARE,UNITED ARAB EMIRATES,84.042,,,,,82.262,,,,,80.236,,,,,78.319,,,,,79.051,,,,,79.804,,,,,80.71,,,,,79.615,,,,,77.701,,,,,75.661,,,,,73.5,,,,,64.572,,,,,54.5
ARG,ARGENTINA,92.349,,,,,91.382,,,,,90.125,,,,,88.654,,,,,86.984,,,,,85.038,,,,,82.887,,,,,80.969,,,,,78.88,,,,,76.369,,,,,73.611,,,,,69.633,,,,,65.339
ARM,ARMENIA,64.066,,,,,64.184,,,,,64.666,,,,,66.057,,,,,67.421,,,,,67.09,,,,,66.05,,,,,63.611,,,,,59.864,,,,,55.622,,,,,51.275,,,,,45.951,,,,,40.339
ASM,AMERICAN SAMOA,92.978,,,,,91.283,,,,,88.766,,,,,85.28,,,,,80.948,,,,,77.762,,,,,74.33,,,,,72.354,,,,,70.384,,,,,68.334,,,,,66.211,,,,,64.02,,,,,61.769
ATG,ANTIGUA AND BARBUDA,29.882,,,,,30.633,,,,,32.127,,,,,33.961,,,,,35.426,,,,,35.021,,,,,34.618,,,,,34.217,,,,,33.819,,,,,36.61,,,,,39.656,,,,,34.889,,,,,30.065
AUS,AUSTRALIA,89.046,,,,,88.182,,,,,87.165,,,,,86.106,,,,,85.4,,,,,85.46,,,,,85.76,,,,,85.921,,,,,85.265,,,,,83.485,,,,,81.529,,,,,79.357,,,,,77.003
AUT,AUSTRIA,67.454,,,,,66.534,,,,,65.8,,,,,65.8,,,,,65.765,,,,,65.566,,,,,65.391,,,,,65.341,,,,,65.258,,,,,65.011,,,,,64.72,,,,,64.16,,,,,63.596
AZE,AZERBAIJAN,53.401,,,,,52.389,,,,,51.386,,,,,52.206,,,,,53.749,,,,,53.498,,,,,52.777,,,,,51.897,,,,,50.008,,,,,51.164,,,,,52.663,,,,,50.026,,,,,45.691
BDI,BURUNDI,10.642,,,,,9.375,,,,,8.246,,,,,7.211,,,,,6.271,,,,,5.221,,,,,4.339,,,,,3.218,,,,,2.382,,,,,2.211,,,,,2.038,,,,,1.877,,,,,1.728
BEL,BELGIUM,97.456,,,,,97.292,,,,,97.118,,,,,96.777,,,,,96.377,,,,,95.93,,,,,95.381,,,,,94.48,,,,,93.843,,,,,93.137,,,,,92.46,,,,,91.977,,,,,91.466
