Country code,Country name,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
ABW,ARUBA,98.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0,94.0,93.0,93.0,93.0,92.0,92.0,92.0,91.0,91.0
AFG,AFGHANISTAN,61.0,57.0,54.0,50.0,47.0,43.0,40.0,36.0,33.0,29.0,26.0,22.0,19.0,15.0,12.0,8.0,5.0,5.0,5.0,5.0,5.0,
AGO,ANGOLA,53.0,53.0,52.0,51.0,50.0,49.0,49.0,48.0,47.0,47.0,46.0,46.0,45.0,45.0,44.0,44.0,43.0,43.0,42.0,42.0,42.0,42.0
AIA,ANGUILLA,95.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,93.0,93.0,93.0,93.0,93.0,93.0,,,,,
ALB,ALBANIA,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
AND,ANDORRA,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ARE,UNITED ARAB EMIRATES,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ARG,ARGENTINA,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,94.0,94.0,93.0
ARM,ARMENIA,99.0,99.0,98.0,97.0,97.0,96.0,96.0,95.0,94.0,94.0,93.0,93.0,92.0,91.0,91.0,90.0,90.0,91.0,91.0,91.0,,
ASM,AMERICAN SAMOA,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,98.0,97.0,97.0,96.0,95.0,95.0,94.0
ATG,ANTIGUA AND BARBUDA,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0
