Country code,Country name,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978
AGO,ANGOLA,,,43.37,,,,,,,,,54.31,,,,,,,,,,,,,,,,,,,,,,
ALB,ALBANIA,,,,0.62,,,0.85,0.53,,0.57,,,,,0.2,,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,,0.92,2.01,1.94,2.71,3.69,4.55,6.29,9.79,12.57,8.27,5.12,4.21,4.0,3.77,4.27,3.88,1.93,2.05,1.77,0.55,,,,0.0,0.0,,,,,,,,
ARM,ARMENIA,,2.47,,1.28,3.46,2.96,3.98,7.43,10.63,14.97,19.84,,18.03,,,17.5,,,,,,,,,,,,,,,,,,
AZE,AZERBAIJAN,,,,0.43,,,,,,,6.32,,,,,,16.26,,,,,,,,,,,,,,,,,
BDI,BURUNDI,,,,,,81.32,,,,,,,,86.43,,,,,,84.24,,,,,,,,,,,,,,
BEN,BENIN,,,,,,,,,47.33,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,BURKINA FASO,,,44.6,,,,,,56.54,,,,,70.03,,,,71.17,,,,,,,,,,,,,,,,
BGD,BANGLADESH,,43.25,,,,,50.47,,,,,58.59,,,,60.91,,,,70.22,,,66.69,,,55.27,,60.57,,,,,,
BGR,BULGARIA,,,,,0.0,,,,0.0,,2.64,,,,0.32,,2.02,0.22,,0.0,,,0.04,,,,,,,,,,,
BIH,BOSNIA AND HERZEGOWINA,,,,,0.04,,,0.1,,,0.13,,,,,,,,,,,,,,,,,,,,,,,
BLR,BELARUS,0.07,0.05,0.16,0.1,0.13,0.1,0.18,0.18,,0.6,0.46,0.33,,0.93,,,0.36,,0.02,,,,,0.08,,,,,,,,,,
BLZ,BELIZE,,,,,,,,,,,,,12.21,11.31,12.45,9.66,14.03,8.93,9.09,,,,,,,,,,,,,,,
BOL,BOLIVIA,,,,15.61,13.06,16.21,18.21,,,22.01,21.44,26.9,23.33,,17.17,,,,8.51,,5.24,,,,,,,,,,,,,
BRA,BRAZIL,,,6.14,6.01,7.13,7.64,8.52,9.77,11.21,10.56,11.82,,11.38,11.03,12.32,12.39,11.26,,17.04,17.92,,17.23,13.72,14.68,13.64,9.7,13.52,15.5,16.65,13.66,13.64,,,
BTN,BHUTAN,,,,,10.22,,,,26.23,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,BOTSWANA,,,,,,,,,,,,,,,,,,31.23,,,,,,,,35.61,,,,,,,,
CAF,CENTRAL AFRICAN REPUBLIC,,,,62.83,,,,,62.43,,,,,,,,,,,83.15,,,,,,,,,,,,,,
CHL,CHILE,,,1.35,,,1.13,,,1.98,,,2.26,,2.35,,2.21,,3.14,,2.74,,5.06,,,7.45,,,,,,,,,
CHN,CHINA,,,11.8,13.06,,,16.25,,,28.36,,,35.63,47.97,47.84,36.37,54.05,59.78,53.69,63.8,,60.18,,,54.03,,,69.43,,,84.02,,,
CIV,COTE D'IVOIRE,,,,23.75,,,,,,23.34,,,,24.06,,,21.09,,17.79,,,,,13.76,8.68,4.11,9.53,,,,,,,
CMR,CAMEROON,,,,,9.56,,,,,,10.77,,,,,24.88,,,,,,,,,,,,,,,,,,
COD,"CONGO, THE DRC",,,,,,87.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG,CONGO,,,,,,,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,COLOMBIA,,8.16,9.67,11.32,8.84,11.04,12.71,18.98,19.61,20.26,19.18,17.85,16.18,,,13.0,,,,6.29,8.18,,8.08,10.69,,,,,,,,15.45,,
COM,COMOROS,,,,,,,,46.11,,,,,,,,,,,,,,,,,,,,,,,,,,
CPV,CAPE VERDE,,,,,,,,,,21.02,,,,,,,,,,,,,,,,,,,,,,,,
CRI,COSTA RICA,,,3.12,2.42,2.16,4.04,3.91,5.28,5.8,6.03,6.02,5.53,5.43,4.22,5.3,7.02,6.01,5.75,6.89,8.11,9.69,8.45,10.79,,,11.17,,,,,21.38,,,
CZE,CZECH REPUBLIC,,,,,,,,,,,,,,,,0.13,,,0.0,,,,,0.0,,,,,,,,,,
DJI,DJIBOUTI,,,,,,,,,,18.84,,,,,,,,,,,,,,,,,,,,,,,,
DOM,DOMINICAN REPUBLIC,,2.24,2.99,3.3,3.83,4.23,6.14,8.13,6.63,5.7,3.73,5.24,,,4.95,4.69,,,,4.66,,,12.16,,,16.37,,,,,,,,
DZA,ALGERIA,,,,,,,,,,,,,,,,,6.79,,,,,,,7.56,,,,,,,,,,
ECU,ECUADOR,,4.61,6.38,6.45,7.23,6.14,9.13,,12.17,,,20.73,23.92,14.47,,,9.99,14.1,,,,,,,12.86,,,,,,,,,
EGY,EGYPT,,,,1.69,,,1.99,,,,,1.81,,,,2.46,,,,,4.46,,,,,,,,,,,,,
EST,ESTONIA,,,,,,,,0.46,0.0,0.51,0.53,0.64,,0.05,,,0.25,,0.79,,,,,0.05,,,,,,,,,,
ETH,Ethiopia,30.65,,,,,,38.96,,,,,55.58,,,,,60.52,,,,,,,,,,,,,66.22,,,,
FJI,FIJI,,,5.88,,,,,,29.16,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,"MICRONESIA, FEDERATED STATES OF",,,,,,,,,,,,31.15,,,,,,,,,,,,,,,,,,,,,,
GAB,GABON,,,,,,,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,GEORGIA,,17.99,15.22,15.27,15.19,15.58,15.98,,17.65,15.73,19.53,19.29,17.91,7.85,15.74,4.71,,,,,,,,,,,,,,,,,,
GHA,GHANA,,,,,,28.59,,,,,,,,39.12,,,,,,51.07,,,49.37,50.59,,,,,,,,,,
GIN,GUINEA,,,,,43.34,,,,56.32,,,,,,,,,63.81,,,92.55,,,,,,,,,,,,,
GMB,GAMBIA,,,,,,,,,33.63,,,,,65.61,,,,,,,,,,,,,,,,,,,,
GNB,GUINEA-BISSAU,,,,,,,,,,48.9,,,,,,,,,52.11,,41.31,,,,,,,,,,,,,
GTM,GUATEMALA,,,,,,13.53,,24.43,22.56,25.75,,11.88,,16.23,,,,,,,,,39.1,,52.26,,,,,,,,,
GUY,GUYANA,,,,,,,,,,,,,,8.7,,,,,6.91,,,,,,,,,,,,,,,
HND,HONDURAS,,,17.92,21.36,16.26,22.85,26.44,25.27,26.15,28.16,17.98,,25.43,25.52,20.61,31.42,27.32,35.89,23.5,27.33,33.04,46.91,41.06,,,14.6,,,,,,,,
HRV,CROATIA (local name: Hrvatska),,,,0.06,,,,0.06,,,0.06,0.07,0.19,0.06,,,,,,,,,,0.04,,,,,,,,,,
HTI,HAITI,,,,,,,,,,,61.71,,,,,,,,,,,,,,,,,,,,,,,
HUN,HUNGARY,,,,,0.17,,,0.13,,0.07,0.14,0.15,0.18,0.17,,,,,0.15,,,,0.04,,0.05,,,,,,,,,
IDN,INDONESIA,16.20166494,18.06,20.42,22.64,24.2,28.63,21.44,,,29.31,,,47.7,,,43.38,,,54.4,,,54.27,,,68.16,,,62.84,,,,,,
IND,INDIA,,32.68,,,,,41.64,,,,,,,,,,,49.4,,,,,,53.59,,,,,55.51,,,,,65.89
IRN,IRAN (ISLAMIC REPUBLIC OF),,,,,,,1.45,,,,,,,1.26,,,,1.42,,,,3.85,,,,4.19,,,,,,,,
IRQ,IRAQ,,,,,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAM,JAMAICA,,,,,,,,0.21,,0.31,37.33,,1.28,,,1.76,,,6.5,,,1.27,,3.97,,,,,,,,,,
JOR,JORDAN,,0.12,,0.07,,0.38,,,1.16,,,,,,1.51,,,,,2.77,,,,,0.0,,,,,,,,,
KAZ,KAZAKHSTAN,,,0.11,0.1,0.17,0.43,,1.69,3.12,5.15,13.62,,,,,4.98,,,4.21,,,,,0.02,,,,,,,,,,
KEN,KENYA,,,,,,,43.37,,,,,,,,19.57,,,28.5,,38.42,,,,,,,,,,,,,,
KGZ,KYRGYZSTAN,5.03,6.7,6.23,6.39,1.9,5.94,22.94,14.22,,34.03,,,,31.84,,,,,18.61,,,,,0.0,,,,,,,,,,
KHM,CAMBODIA,,,18.6,22.75,32.23,,,37.69,,,,,,,,,,44.5,,,,,,,,,,,,,,,,
LAO,LAOS ,,,,33.88,,,,,,43.96,,,,,49.32,,,,,55.68,,,,,,,,,,,,,,
LBR,LIBERIA,,,,,83.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCA,SAINT LUCIA,,,,,,,,,,,,,,,,,20.93,,,,,,,,,,,,,,,,,
LKA,SRI LANKA,,4.11,,,7.04,,,,,13.95,,,,,,16.32,,,,,15.01,,,,,,19.96,,,,,,,
LSO,LESOTHO,,,,,,,,,43.41,,,,,,,,,46.15,56.43,,,,,,44.35,,,,,,,,,
LTU,LITHUANIA,,,,0.16,,,,0.43,,0.42,0.43,0.3,,0.32,,0.0,,,2.18,,,,,0.06,,,,,,,,,,
LVA,LATVIA,,,0.19,0.14,0.21,,,0.34,0.36,0.0,,,,0.0,0.56,0.42,0.0,,0.0,,,,,0.02,,,,,,,,,,
MAR,MOROCCO,,,,,2.52,,,,,,6.25,,6.76,,,,,,,,2.45,,,,,,10.29,,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",,0.39,0.44,1.05,0.92,2.01,12.49,8.14,6.76,17.49,26.47,,38.99,27.22,15.11,,,,,16.97,,,,15.27,,,,,,,,,,
MDG,MADAGASCAR,,81.29,,,,,67.83,,,,76.34,,82.32,,72.04,,,,72.49,,,,,,,,,,,,,85.89,,
MDV,MALDIVES,,,,,,,,1.48,,,,,,25.59,,,,,,,,,,,,,,,,,,,,
MEX,MEXICO,,0.72,,1.15,,0.68,5.1,1.6,,3.9,,5.53,,8.62,,7.86,,3.56,,4.83,,,3.98,,,,,12.78,,,,,,
MKD,MACEDONIA,,0.6,0.0,0.29,,0.92,0.28,0.52,0.47,0.55,,4.28,,0.0,,,,,,,,,,,,,,,,,,,,
MLI,MALI,,50.43,,,,51.43,,,,,61.18,,,,,,,86.08,,,,,,,,,,,,,,,,
MNE,MONTENEGRO,,0.0,0.0,0.12,0.15,0.09,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,MOZAMBIQUE,,,,59.58,,,,,74.69,,,,,,,80.59,,,,,,,,,,,,,,,,,,
MRT,MAURITANIA,,,,23.43,,,,25.41,,,,21.16,,,,23.4,,,42.79,,,,,,41.32,,,,,,,,,
MWI,MALAWI,,61.64,,,,,,73.86,,,,,,83.07,,,,,,,,,,,,,,,,,,,,
MYS,MALAYSIA,,,0.0,,0.0,,,0.54,,,,,,,0.54,,2.08,,,1.62,,,1.91,,2.39,,,3.22,,,,,,
NAM,NAMIBIA,,,,,,,,31.91,,,,,,,,,,,49.14,,,,,,,,,,,,,,,
