indicator,source,period,is_hdx,is_worldbank,is_quandl,is_manual,have_it
Population,UNDESA*,2012,"http://manage.hdx.rwlabs.org/hdx/api/exporter/indicator/csv/_Population,%20total/source/world-bank/fromYear/1950/toYear/2014/language/en/_Population,%20total_Baseline.csv",FALSE,FALSE,FALSE,TRUE
Population living in urban areas,UNDESA*,2012,http://manage.hdx.rwlabs.org/hdx/api/exporter/indicator/csv/PSP100/source/esa-unpd-wup2011/fromYear/1950/toYear/2014/language/en/PSP100_Baseline.csv,FALSE,FALSE,FALSE,TRUE
Annual average population growth rate,UNDESA*,2012,http://manage.hdx.rwlabs.org/hdx/api/exporter/indicator/csv/PSP060/source/world-bank/fromYear/1950/toYear/2014/language/en/PSP060_Baseline.csv,FALSE,FALSE,FALSE,TRUE
Human Development Index,UNDP,2012,FALSE,UNDP.HDI.XD,FALSE,FALSE,TRUE
GDP growth rate,World Bank,2012,FALSE,NY.GDP.MKTP.KD.ZG,FALSE,FALSE,TRUE
Number of people targeted for humanitarian assistance in inter-agency appeals,Inter-agency appeal documents,2012,FALSE,FALSE,FALSE,TRUE,FALSE
Number of people affected by natural disasters,EM-DAT,2012,http://manage.hdx.rwlabs.org/hdx/api/exporter/indicator/csv/_emdat:total_affected/source/emdat/fromYear/1950/toYear/2014/language/en/_emdat:total_affected_Baseline.csv,FALSE,FALSE,FALSE,TRUE
Proportion of the population affected annually by natural disasters,EM-DAT,latest year,FALSE,FALSE,FALSE,FALSE,FALSE
Number of last 10 years experiencing active conflict,UCDP,latest year,FALSE,FALSE,FALSE,FALSE,FALSE
Total population of concern to UNHCR,UNHCR,2012,FALSE,FALSE,FALSE,TRUE,FALSE
Poverty headcount ratio at US$1.25 a day,World Bank,latest year,http://manage.hdx.rwlabs.org/hdx/api/exporter/indicator/csv/PSE170/source/world-bank/fromYear/1950/toYear/2014/language/en/PSE170_Baseline.csv,FALSE,FALSE,FALSE,TRUE
Number of people living below US$1.25 per day,World Bank,latest year,FALSE,FALSE,FALSE,FALSE,FALSE
"Malnutrition prevalence, weight for age",WHO*,latest year,FALSE,SH.STA.MALN.ZS,FALSE,FALSE,TRUE
Life expectancy,UNDESA*,2011,FALSE,SP.DYN.LE00.IN,FALSE,FALSE,TRUE
Under-5 mortality rate,UNICEF*,2011,http://manage.hdx.rwlabs.org/hdx/api/exporter/indicator/csv/PVH140/source/mdgs/fromYear/1950/toYear/2014/language/en/PVH140_Baseline.csv,FALSE,FALSE,FALSE,TRUE
Density of physicians,WHO*,latest year,FALSE,SH.MED.PHYS.ZS,FALSE,FALSE,TRUE
Population using improved drinking-water sources,WHO/UNICEF*,2011,http://manage.hdx.rwlabs.org/hdx/api/exporter/indicator/csv/PVW010/source/mdgs/fromYear/1950/toYear/2014/language/en/PVW010_Baseline.csv,FALSE,FALSE,FALSE,TRUE
Mobile cellular subscriptions per 100 inhabitants,ITU*,2012,FALSE,IT.CEL.SETS.P2,FALSE,FALSE,TRUE
Government revenues per capita,World Bank,latest year,FALSE,FALSE,FALSE,FALSE,FALSE
Official Development Assistance per capita,OECD DAC*,2011,http://manage.hdx.rwlabs.org/hdx/api/exporter/indicator/csv/_Net%20ODA%20received%20per%20capita%20(current%20US$)/source/world-bank/fromYear/1950/toYear/2014/language/en/_Net%20ODA%20received%20per%20capita%20(current%20US$)_Baseline.csv,FALSE,FALSE,FALSE,TRUE
Humanitarian funding received,GHA,2011,FALSE,FALSE,FALSE,TRUE,FALSE
