country_list,year_count,iso3
Philippines,9,PHL
Myanmar (Burma),8,MMR
India,9,IND
Yemen,4,YEM
Israel,9,ISR
Iraq,9,IRQ
Nepal,3,NPL
DR Congo (Zaire),4,COG
Burundi,4,BDI
Chad,6,TCD
Colombia,9,COL
Peru,4,PER
"Cambodia (Kampuchea), Thailand",1,THA
Nigeria,4,NGA
Syria,2,SYR
Sudan,9,SDN
Uganda,8,UGA
Pakistan,9,PAK
Ethiopia,9,ETH
Afghanistan,9,AFG
Somalia,7,SOM
Iran,7,IRN
Sri Lanka ,5,LKA
Turkey,9,TUR
Indonesia,2,IDN
Mali,4,MLI
Rwanda,4,RWA
Senegal,1,SEN
Haiti,1,HTI
Algeria,9,DZA
Angola,3,AGO
Azerbaijan,2,AZE
Georgia,2,GEO
Russia (Soviet Union),9,RUS
Uzbekistan,1,UZB
Central African Republic,5,CAF
United States of America,9,USA
Ivory Coast,2,CIV
Thailand,9,THA
Niger,2,NER
"Djibouti, Eritrea",1,ERI
Tajikistan,2,TJK
Mauritania,2,MRT
South Sudan,2,SSD
Libya,1,LBY
"South Sudan, Sudan",1,SSD
China,1,CHN
Bangladesh,2,BGD
